2018, Ford , EcoSport SE ,1222,  4 Cyl 2.0 L,  White ,  4WD,  Description: Used 2018 Ford EcoSport SE with 4WD Air Conditioning Alloy Wheels Cruise Control Fog Lights Heated Seats Keyless Entry Navigation System Power Sun/Moonroof Rear-View Camera Split/Folding Seats ,1,19995
2017, Kia , Sorento LX ,26101,  4 Cyl 2.4 L,  Gray ,  AWD,  Description: Used 2017 Kia Sorento LX with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Navigation System Rear-View Camera Satellite Radio ,1,18912
2017, Volkswagen , Tiguan Wolfsburg Edition ,30328,  4 Cyl 2.0 L,  White ,  AWD,  Description: Used 2017 Volkswagen Tiguan Wolfsburg Edition with AWD Air Conditioning CD (Single Disc) Cruise Control Heated Seats Keyless Entry Power Steering Power Sun/Moonroof Rear-View Camera Satellite Radio Split/Folding Seats ,1,17590
2017, Nissan , Rogue SV ,15085,  4 Cyl 2.5 L,  Unspecified ,  AWD,  Description: Used 2017 Nissan Rogue SV with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Heated Seats Keyless Entry Power Steering Satellite Radio Split/Folding Seats ,1,18895
2017, Toyota , RAV4 LE ,35277,  4 Cyl 2.5 L,  Red ,  AWD,  Description: Used 2017 Toyota RAV4 LE with AWD Air Conditioning Handsfree/Bluetooth Integration Intermittent Wipers Power Locks Power Mirrors Power Steering Rear Window Defroster Rear-View Camera Split/Folding Seats Trip Computer ,1,19500
2018, Mitsubishi , Outlander SE ,9412,  4 Cyl 2.4 L,  White ,  AWD,  Description: Used 2018 Mitsubishi Outlander SE with AWD Air Conditioning Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Rear-View Camera Split/Folding Seats Third Row Seating ,1,19178
2018, Ford , EcoSport Titanium ,5918,  4 Cyl 2.0 L,  White ,  4WD,  Description: Used 2018 Ford EcoSport Titanium with 4WD Air Conditioning Cruise Control Fog Lights Heated Seats Keyless Entry MP3 Navigation System Power Sun/Moonroof Rear-View Camera Split/Folding Seats ,1,19899
2017, Nissan , Rogue Sport SV ,3667,  4 Cyl 2.0 L,  White ,  FWD,  Description: Used 2017 Nissan Rogue Sport SV with FWD Air Conditioning Alloy Wheels AM/FM Aux Audio Adapter Cloth Seats Cruise Control Handsfree/Bluetooth Integration Power Locks Power Seat (Driver) Rear-View Camera ,1,18900
2017, Kia , Sportage LX ,27365,  4 Cyl 2.4 L,  White ,  FWD,  Description: Used 2017 Kia Sportage LX with FWD Alloy Wheels Aux Audio Adapter CD (Single Disc) Cloth Seats Cruise Control MP3 Power Windows Rear-View Camera Satellite Radio Split/Folding Seats ,1,15498
2017, Honda , HR-V LX ,16342,  4 Cyl 1.8 L,  White ,  AWD,  Description: Used 2017 Honda HR-V LX with AWD Air Conditioning AM/FM Aux Audio Adapter CD (Single Disc) Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Split/Folding Seats ,1,15895
2017, Volkswagen , Tiguan S ,10285,  4 Cyl 2.0 L,  Black ,  FWD,  Description: Used 2017 Volkswagen Tiguan S with FWD Air Conditioning Handsfree/Bluetooth Integration Heated Seats Intermittent Wipers Keyless Entry Power Seat (Driver) Power Steering Rear Window Defroster Rear-View Camera ,1,14990
2019, Kia , Sorento LX ,11489,  6 Cyl 3.3 L,  White ,  AWD,  Description: Used 2019 Kia Sorento LX with AWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Rear-View Camera Split/Folding Seats Third Row Seating ,1,19993
2017, Nissan , Pathfinder SV ,46056,  6 Cyl 3.5 L,  Silver ,  FWD,  Description: Used 2017 Nissan Pathfinder SV with FWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Keyless Entry MP3 Rear-View Camera Remote Start Third Row Seating ,1,16495
2017, Nissan , Pathfinder SV ,46056,  6 Cyl 3.5 L,  Silver ,  FWD,  Description: Used 2017 Nissan Pathfinder SV with FWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Keyless Entry MP3 Rear-View Camera Remote Start Third Row Seating ,1,16495
2018, Jeep , Compass Latitude ,3282,  4 Cyl 2.4 L,  Blue ,  4WD,  Description: Used 2018 Jeep Compass Latitude with 4WD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Keyless Entry MP3 Power Steering Power Windows Rear-View Camera ,1,18899
2018, Mitsubishi , Outlander Sport ,5523,  4 Cyl 2.0 L,  Gray ,  FWD,  Description: Used 2018 Mitsubishi Outlander Sport with FWD Air Conditioning Cloth Seats Cruise Control Heated Seats Keyless Entry Leather Seats Navigation System Power Steering Rear-View Camera Split/Folding Seats ,1,15888
2017, Chevrolet , Equinox LS ,23909,  4 Cyl 2.4 L,  Gray ,  AWD,  Description: Used 2017 Chevrolet Equinox LS with AWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Keyless Entry MP3 Navigation System Power Steering Rear-View Camera Satellite Radio ,1,17978
2017, Nissan , Rogue SV ,15737,  4 Cyl 2.5 L,  Silver ,  AWD,  Description: Used 2017 Nissan Rogue SV with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry Rear-View Camera Remote Start Split/Folding Seats Third Row Seating ,1,17995
2017, Chevrolet , Equinox LT ,25527,  4 Cyl 2.4 L,  Gray ,  AWD,  Description: Used 2017 Chevrolet Equinox LT with AWD Air Conditioning Alloy Wheels Cruise Control Heated Seats Keyless Entry Leather Seats MP3 Navigation System Rear-View Camera Remote Start ,1,19358
2017, Nissan , Rogue S ,48945,  4 Cyl 2.5 L,  Red ,  FWD,  Description: Used 2017 Nissan Rogue S with FWD Air Conditioning CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera Satellite Radio ,1,12995
2018, Jeep , Renegade Latitude ,3454,  4 Cyl 2.4 L,  Black ,  4WD,  Description: Used 2018 Jeep Renegade Latitude with 4WD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Keyless Entry Power Steering Remote Start Satellite Radio Split/Folding Seats ,1,18990
2018, Nissan , Rogue S ,12282,  4 Cyl 2.5 L,  Black ,  FWD,  Description: Used 2018 Nissan Rogue S with FWD Air Conditioning AM/FM CD (Single Disc) Cloth Seats Cruise Control Keyless Entry Power Steering Power Windows Rear-View Camera Split/Folding Seats ,1,17999
2017, Chevrolet , Equinox LT ,28043,  4 Cyl 2.4 L,  Black ,  AWD,  Description: Used 2017 Chevrolet Equinox LT with AWD Alloy Wheels Front Airbags (Driver) Handsfree/Bluetooth Integration Intermittent Wipers Keyless Entry Power Seat (Driver) Power Windows Rear-View Camera Trip Computer ,1,17995
2017, Jeep , Cherokee Latitude ,48490,  4 Cyl 2.4 L,  Black ,  FWD,  Description: Used 2017 Jeep Cherokee Latitude with FWD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio ,1,14900
2017, Kia , Sportage EX ,37087,  4 Cyl 2.4 L,  Blue ,  AWD,  Description: Used 2017 Kia Sportage EX with AWD Air Conditioning Alloy Wheels Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Power Steering Rear-View Camera Split/Folding Seats ,1,19946
2018, Chevrolet , Equinox LT ,19256,  4 Cyl 1.5 L,  Silver ,  AWD,  Description: Used 2018 Chevrolet Equinox LT with AWD Air Conditioning Alloy Wheels AM/FM Cloth Seats Cruise Control Keyless Entry MP3 Power Windows Rear-View Camera Satellite Radio ,1,17761
2017, Subaru , Crosstrek Premium ,37130,  4 Cyl 2.0 L,  Gray ,  AWD,  Description: Used 2017 Subaru Crosstrek Premium with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Fog Lights Heated Seats Keyless Entry MP3 Rear-View Camera Split/Folding Seats ,1,18831
2019, Jeep , Cherokee Latitude Plus,16406,  4 Cyl 2.4 L,  Silver ,  4WD,  Description: Used 2019 Jeep Cherokee Latitude with 4WD Air Conditioning Alloy Wheels Cloth Seats Cruise Control Fog Lights Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio ,1,19495
2018, Dodge , Journey Crossroad ,10676,  6 Cyl 3.6 L,  Gray ,  AWD,  Description: Used 2018 Dodge Journey Crossroad with AWD Air Conditioning AM/FM Cruise Control DVD Fog Lights Keyless Entry Leather Seats Power Steering Split/Folding Seats Third Row Seating ,1,18988
2018, Jeep , Renegade Sport ,11851,  4 Cyl 2.4 L,  White ,  4WD,  Description: Used 2018 Jeep Renegade Sport with 4WD Air Conditioning AM/FM Aux Audio Adapter CD (Single Disc) Cloth Seats Intermittent Wipers Keyless Entry Power Steering Rear-View Camera Split/Folding Seats ,1,15999
2017, GMC , Terrain SLE SLE-2,17237,  4 Cyl 2.4 L,  Black ,  AWD,  Description: Used 2017 GMC Terrain SLE with AWD Air Conditioning Alloy Wheels Cruise Control Heated Seats Keyless Entry MP3 Navigation System Rear-View Camera Remote Start Satellite Radio ,1,19310
2019, Mazda , CX-3 Touring ,23699,  4 Cyl 2.0 L,  Blue ,  AWD,  Description: Used 2019 Mazda CX-3 Touring with AWD Air Conditioning Alloy Wheels AM/FM Cruise Control Heated Seats Keyless Entry Power Steering Power Windows Rear-View Camera Split/Folding Seats ,1,19199
2018, Nissan , Rogue Sport S ,17478,  4 Cyl 2.0 L,  Red ,  AWD,  Description: Used 2018 Nissan Rogue Sport S with AWD Air Conditioning CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Rear-View Camera Satellite Radio ,1,17792
2018, Ford , EcoSport Titanium ,14081,  4 Cyl 2.0 L,  Black ,  4WD,  Description: Used 2018 Ford EcoSport Titanium with 4WD Air Conditioning Alloy Wheels Cruise Control Fog Lights Heated Seats Keyless Entry Leather Seats Navigation System Rear-View Camera Remote Start ,1,18999
2017, Nissan , Pathfinder S ,33543,  6 Cyl 3.5 L,  Black ,  4WD,  Description: Used 2017 Nissan Pathfinder S with 4WD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Keyless Entry Rear-View Camera Satellite Radio Split/Folding Seats Third Row Seating ,1,18449
2017, Hyundai , Tucson Eco ,53064,  4 Cyl 1.6 L,  White ,  AWD,  Description: Used 2017 Hyundai Tucson Eco with AWD Air Conditioning AM/FM Cloth Seats Cruise Control DVD Fog Lights Navigation System Power Seat (Driver) Power Steering Trip Computer ,1,15490
2017, Mitsubishi , Outlander Sport ES ,23973,  4 Cyl 2.0 L,  Gray ,  AWD,  Description: Used 2017 Mitsubishi Outlander Sport ES with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cloth Seats Cruise Control Keyless Entry MP3 Power Steering Power Windows Split/Folding Seats ,1,13995
2017, Hyundai , Santa Fe Sport ,31598,  4 Cyl 2.4 L,  Silver ,  AWD,  Description: Used 2017 Hyundai Santa Fe Sport with AWD Air Conditioning Alloy Wheels CD (Single Disc) Cruise Control Heated Seats Keyless Entry MP3 Power Steering Rear-View Camera Satellite Radio ,1,17300
